연번,도로명주소,지번주소,위도,경도,건물명,구 명칭,전화번호,유형,개방시간,소재지 용도,화장실 현황,장애인화장실 현황,편의시설 (기타설비),안내표지,소재지,비고
1,서울특별시 강북구 오패산로52라길 149,서울특별시 강북구 미아동 산 25-52,127.0347052,37.62058214,게이트볼장 앞 화장실,강북구, , , , , , , , , , 
2,서울특별시 강북구 오현로 145,서울특별시 강북구 번동 산 27-121,127.0355798,37.62480401,정보도서관 뒤 화장실,강북구, , , , , , , , , , 
3, ,서울특별시 강북구 번동 산 23-36,127.0351924,37.62907368,꽃샘길 화장실,강북구, , , , , , , , , , 
4,서울특별시 성동구 고산자로 202,서울특별시 성동구 행당동 319-36,127.0344055,37.55825571,무학빌딩(레노스블랑쉬),성동구, ,민간개방1,06:00-20:00,빌딩, , , , , , 
5,서울특별시 성동구 고산자로 164,서울특별시 성동구 행당동 349,127.0366672,37.55424285,행당한신아파트상가,성동구, ,민간개방1,07:00-23:00,빌딩, , , , , , 
6,서울특별시 성동구 행당로9길 9,서울특별시 성동구 행당동 347-1,127.0293244,37.55821337,행당2동 주민센터,성동구, ,공공개방,08:00-21:00,공공청사,"남1,여1",손건조기6, , , , 
7,서울특별시 성동구 행당로 87,서울특별시 성동구 행당동 347,127.0285204,37.55729704,행당대림리빙프라자,성동구, ,민간개방1,09:00-22:00,빌딩,여2,손건조기2, , , , 
8,서울특별시 성동구 행당로 75,서울특별시 성동구 행당동 347,127.027624,37.55660495,행당대림노변상가,성동구, ,민간개방1,상시,빌딩, , , , , , 
9,서울특별시 성동구 행당로 76,서울특별시 성동구 행당동 346-12,127.0276777,37.55642047,행당한진노변상가,성동구, ,민간개방1,상시,상가(시장), , , , , , 
10,서울특별시 성동구 행당로6길 24-9,서울특별시 성동구 행당동 346-2,127.0270702,37.55470107,대림공원,성동구, ,공중,상시(연중개방),공원, ,"비상벨2, 손건조기2", , , , 
11,서울특별시 성동구 금호로 173,서울특별시 성동구 금호동2가 1-4,127.0195894,37.556752,금호산,성동구, ,공중,상시(연중개방),공원,"남2,여1",비상벨2, , , , 
12,서울특별시 성동구 금호로 173,서울특별시 성동구 금호동2가 1,127.0195178,37.5564452,군부대앞금호정,성동구, ,공중,상시(연중개방),공원, , , , , , 
13,서울특별시 성동구 행당로 15,서울특별시 성동구 금호동1가 101,127.0216532,37.55487718,금호동1가 주민센터,성동구, ,공공개방,09:00-18:00,공공청사, , , , , , 
14,서울특별시 성동구 행당로 6,서울특별시 성동구 금호동1가 515,127.0207294,37.55447116,신세계오피스텔,성동구, ,민간개방1,09:00-22:00,빌딩, , , , , , 
15,서울특별시 성동구 난계로 20,서울특별시 성동구 금호동1가 1350-15,127.0248939,37.5540514,성동구립 금호도서관,성동구, ,공공개방,09:00-22:00,공공청사,"남2,여2",손건조기, , , , 
16,서울특별시 성동구 난계로 19,서울특별시 성동구 금호동1가 179-3,127.0243274,37.55406333,금호119안전센터,성동구, ,공공개방,상시,공공청사, , , , , , 
17,서울특별시 성동구 금호로 118,서울특별시 성동구 금호동1가 1822,127.0240205,37.55299871,성동구 보건분소,성동구, ,공공개방,09:00-18:00,공공청사, , , , , , 
18,서울특별시 성동구 무수막길 69,서울특별시 성동구 금호동2가 511,127.0199264,37.5527902,열린금호교육문화관,성동구, ,공공개방,09:00-18:00,공공청사, ,손건조기, , , , 
19,서울특별시 성동구 금호산길 42,서울특별시 성동구 금호동2가 500-9,127.0192221,37.5519823,서울중앙병원,성동구, ,공공개방,09:00-18:00,병원, ,손건조기2, , , , 
20,서울특별시 성동구 무수막길 1,서울특별시 성동구 금호동3가 209,127.0254687,37.54833969,"금호동2,3가 주민센터",성동구, ,공공개방,09:00-18:00,공공청사,남1(별도장애인실),손건조기2, , , , 
